,Zoning_Class,Lot_Extent,Lot_Size,Road_Type,Property_Shape,Land_Outline,Utility_Type,Lot_Configuration,Property_Slope,Neighborhood,Condition1,Condition2,House_Type,House_Design,Overall_Material,Construction_Year,Remodel_Year,Roof_Design,Roof_Quality,Exterior1st,Exterior2nd,Brick_Veneer_Type,Brick_Veneer_Area,Exterior_Material,Exterior_Condition,Foundation_Type,Basement_Height,Basement_Condition,Exposure_Level,BsmtFinType1,BsmtFinSF1,BsmtFinType2,Total_Basement_Area,Heating_Type,Heating_Quality,Air_Conditioning,Electrical_System,First_Floor_Area,Second_Floor_Area,Grade_Living_Area,Full_Bathroom_Above_Grade,Half_Bathroom_Above_Grade,Kitchen_Quality,Rooms_Above_Grade,Functional_Rate,Fireplaces,Fireplace_Quality,Garage,Garage_Built_Year,Garage_Finish_Year,Garage_Size,Garage_Quality,Garage_Condition,Pavedd_Drive,Sale_Type,Sale_Condition,Sale_Price
10,RLD,70.0,11200,Paved,Reg,Lvl,AllPub,I,GS,Sawyer,Norm,Norm,1Fam,1Story,5,1965,1965,Hip,SS,HdBoard,HdBoard,None,0.0,TA,TA,CB,TA,TA,No,Rec,906,Unf,1040,GasA,Ex,Y,SBrkr,1040,0,1040,1,0,TA,5,TF,0,,Detchd,1965.0,Unf,1,TA,TA,Y,WD,Normal,129500
11,RLD,85.0,11924,Paved,IR1,Lvl,AllPub,I,GS,NridgHt,Norm,Norm,1Fam,2Story,9,2005,2006,Hip,SS,WdShing,Wd Shng,Stone,286.0,Ex,TA,PC,Ex,TA,No,GLQ,998,Unf,1175,GasA,Ex,Y,SBrkr,1182,1142,2324,3,0,Ex,11,TF,2,Gd,BuiltIn,2005.0,Fin,3,TA,TA,Y,New,Partial,345000
12,RLD,70.04583333333333,12968,Paved,IR2,Lvl,AllPub,I,GS,Sawyer,Norm,Norm,1Fam,1Story,5,1962,1962,Hip,SS,HdBoard,Plywood,None,0.0,TA,TA,CB,TA,TA,No,ALQ,737,Unf,912,GasA,TA,Y,SBrkr,912,0,912,1,0,TA,4,TF,0,,Detchd,1962.0,Unf,1,TA,TA,Y,WD,Normal,144000
13,RLD,91.0,10652,Paved,IR1,Lvl,AllPub,I,GS,CollgCr,Norm,Norm,1Fam,1Story,7,2006,2007,Gable,SS,VinylSd,VinylSd,Stone,306.0,Gd,TA,PC,Gd,TA,Av,Unf,0,Unf,1494,GasA,Ex,Y,SBrkr,1494,0,1494,2,0,Gd,7,TF,1,Gd,Attchd,2006.0,RFn,3,TA,TA,Y,New,Partial,279500
14,RLD,70.04583333333333,10920,Paved,IR1,Lvl,AllPub,C,GS,NAmes,Norm,Norm,1Fam,1Story,6,1960,1960,Hip,SS,MetalSd,MetalSd,BrkFace,212.0,TA,TA,CB,TA,TA,No,BLQ,733,Unf,1253,GasA,TA,Y,SBrkr,1253,0,1253,1,1,TA,5,TF,1,Fa,Attchd,1960.0,RFn,1,TA,TA,Y,WD,Normal,157000
15,RMD,51.0,6120,Paved,Reg,Lvl,AllPub,C,GS,BrkSide,Norm,Norm,1Fam,1.5Unf,7,1929,2001,Gable,SS,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BT,TA,TA,No,Unf,0,Unf,832,GasA,Ex,Y,FuseA,854,0,854,1,0,TA,5,TF,0,,Detchd,1991.0,Unf,2,TA,TA,Y,WD,Normal,132000
16,RLD,70.04583333333333,11241,Paved,IR1,Lvl,AllPub,CulDSac,GS,NAmes,Norm,Norm,1Fam,1Story,6,1970,1970,Gable,SS,Wd Sdng,Wd Sdng,BrkFace,180.0,TA,TA,CB,TA,TA,No,ALQ,578,Unf,1004,GasA,Ex,Y,SBrkr,1004,0,1004,1,0,TA,5,TF,1,TA,Attchd,1970.0,Fin,2,TA,TA,Y,WD,Normal,149000
17,RLD,72.0,10791,Paved,Reg,Lvl,AllPub,I,GS,Sawyer,Norm,Norm,Duplex,1Story,4,1967,1967,Gable,SS,MetalSd,MetalSd,None,0.0,TA,TA,SL,,,,,0,,0,GasA,TA,Y,SBrkr,1296,0,1296,2,0,TA,6,TF,0,,CarPort,1967.0,Unf,2,TA,TA,Y,WD,Normal,90000
18,RLD,66.0,13695,Paved,Reg,Lvl,AllPub,I,GS,SawyerW,RRAe,Norm,1Fam,1Story,5,2004,2004,Gable,SS,VinylSd,VinylSd,None,0.0,TA,TA,PC,TA,TA,No,GLQ,646,Unf,1114,GasA,Ex,Y,SBrkr,1114,0,1114,1,1,Gd,6,TF,0,,Detchd,2004.0,Unf,2,TA,TA,Y,WD,Normal,159000
19,RLD,70.0,7560,Paved,Reg,Lvl,AllPub,I,GS,NAmes,Norm,Norm,1Fam,1Story,5,1958,1965,Hip,SS,BrkFace,Plywood,None,0.0,TA,TA,CB,TA,TA,No,LwQ,504,Unf,1029,GasA,TA,Y,SBrkr,1339,0,1339,1,0,TA,6,MD1,0,,Attchd,1958.0,Unf,1,TA,TA,Y,COD,Abnorml,139000
20,RLD,101.0,14215,Paved,IR1,Lvl,AllPub,C,GS,NridgHt,Norm,Norm,1Fam,2Story,8,2005,2006,Gable,SS,VinylSd,VinylSd,BrkFace,380.0,Gd,TA,PC,Ex,TA,Av,Unf,0,Unf,1158,GasA,Ex,Y,SBrkr,1158,1218,2376,3,1,Gd,9,TF,1,Gd,BuiltIn,2005.0,RFn,3,TA,TA,Y,New,Partial,325300
21,RMD,57.0,7449,Paved,Reg,Bnk,AllPub,I,GS,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,1930,1950,Gable,SS,Wd Sdng,Wd Sdng,None,0.0,TA,TA,PC,TA,TA,No,Unf,0,Unf,637,GasA,Ex,Y,FuseF,1108,0,1108,1,0,Gd,6,TF,1,Gd,Attchd,1930.0,Unf,1,TA,TA,N,WD,Normal,139400
22,RLD,75.0,9742,Paved,Reg,Lvl,AllPub,I,GS,CollgCr,Norm,Norm,1Fam,1Story,8,2002,2002,Hip,SS,VinylSd,VinylSd,BrkFace,281.0,Gd,TA,PC,Gd,TA,No,Unf,0,Unf,1777,GasA,Ex,Y,SBrkr,1795,0,1795,2,0,Gd,7,TF,1,Gd,Attchd,2002.0,RFn,2,TA,TA,Y,WD,Normal,230000
23,RMD,44.0,4224,Paved,Reg,Lvl,AllPub,I,GS,MeadowV,Norm,Norm,TwnhsE,1Story,5,1976,1976,Gable,SS,CemntBd,CmentBd,None,0.0,TA,TA,PC,Gd,TA,No,GLQ,840,Unf,1040,GasA,TA,Y,SBrkr,1060,0,1060,1,0,TA,6,TF,1,TA,Attchd,1976.0,Unf,2,TA,TA,Y,WD,Normal,129900
24,RLD,70.04583333333333,8246,Paved,IR1,Lvl,AllPub,I,GS,Sawyer,Norm,Norm,1Fam,1Story,5,1968,2001,Gable,SS,Plywood,Plywood,None,0.0,TA,Gd,CB,TA,TA,Mn,Rec,188,ALQ,1060,GasA,Ex,Y,SBrkr,1060,0,1060,1,0,Gd,6,TF,1,TA,Attchd,1968.0,Unf,1,TA,TA,Y,WD,Normal,154000
25,RLD,110.0,14230,Paved,Reg,Lvl,AllPub,C,GS,NridgHt,Norm,Norm,1Fam,1Story,8,2007,2007,Gable,SS,VinylSd,VinylSd,Stone,640.0,Gd,TA,PC,Gd,TA,No,Unf,0,Unf,1566,GasA,Ex,Y,SBrkr,1600,0,1600,2,0,Gd,7,TF,1,Gd,Attchd,2007.0,RFn,3,TA,TA,Y,WD,Normal,256300
26,RLD,60.0,7200,Paved,Reg,Lvl,AllPub,C,GS,NAmes,Norm,Norm,1Fam,1Story,5,1951,2000,Gable,SS,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CB,TA,TA,Mn,BLQ,234,Rec,900,GasA,TA,Y,SBrkr,900,0,900,1,0,Gd,5,TF,0,,Detchd,2005.0,Unf,2,TA,TA,Y,WD,Normal,134800
27,RLD,98.0,11478,Paved,Reg,Lvl,AllPub,I,GS,NridgHt,Norm,Norm,1Fam,1Story,8,2007,2008,Gable,SS,VinylSd,VinylSd,Stone,200.0,Gd,TA,PC,Ex,TA,No,GLQ,1218,Unf,1704,GasA,Ex,Y,SBrkr,1704,0,1704,2,0,Gd,7,TF,1,Gd,Attchd,2008.0,RFn,3,TA,TA,Y,WD,Normal,306000
28,RLD,47.0,16321,Paved,IR1,Lvl,AllPub,CulDSac,GS,NAmes,Norm,Norm,1Fam,1Story,5,1957,1997,Gable,SS,MetalSd,MetalSd,None,0.0,TA,TA,CB,TA,TA,Gd,BLQ,1277,Unf,1484,GasA,TA,Y,SBrkr,1600,0,1600,1,0,TA,6,TF,2,Gd,Attchd,1957.0,RFn,1,TA,TA,Y,WD,Normal,207500
29,RMD,60.0,6324,Paved,IR1,Lvl,AllPub,I,GS,BrkSide,Feedr,RRNn,1Fam,1Story,4,1927,1950,Gable,SS,MetalSd,MetalSd,None,0.0,TA,TA,BT,TA,TA,No,Unf,0,Unf,520,GasA,Fa,N,SBrkr,520,0,520,1,0,Fa,4,TF,0,,Detchd,1920.0,Unf,1,Fa,TA,Y,WD,Normal,68500
30,Commer,50.0,8500,Paved,Reg,Lvl,AllPub,I,GS,IDOTRR,Feedr,Norm,1Fam,2Story,4,1920,1950,Gambrel,SS,BrkFace,BrkFace,None,0.0,TA,Fa,BT,TA,TA,No,Unf,0,Unf,649,GasA,TA,N,SBrkr,649,668,1317,1,0,TA,6,TF,0,,Detchd,1920.0,Unf,1,TA,Fa,N,WD,Normal,40000
31,RLD,70.04583333333333,8544,Paved,IR1,Lvl,AllPub,CulDSac,GS,Sawyer,Norm,Norm,1Fam,1Story,5,1966,2006,Gable,SS,HdBoard,HdBoard,None,0.0,TA,TA,CB,TA,TA,No,Unf,0,Unf,1228,GasA,Gd,Y,SBrkr,1228,0,1228,1,1,Gd,6,TF,0,,Attchd,1966.0,Unf,1,TA,TA,Y,WD,Normal,149350
32,RLD,85.0,11049,Paved,Reg,Lvl,AllPub,C,GS,CollgCr,Norm,Norm,1Fam,1Story,8,2007,2007,Gable,SS,VinylSd,VinylSd,None,0.0,Gd,TA,PC,Ex,TA,Av,Unf,0,Unf,1234,GasA,Ex,Y,SBrkr,1234,0,1234,2,0,Gd,7,TF,0,,Attchd,2007.0,RFn,2,TA,TA,Y,WD,Normal,179900
33,RLD,70.0,10552,Paved,IR1,Lvl,AllPub,I,GS,NAmes,Norm,Norm,1Fam,1Story,5,1959,1959,Hip,SS,BrkFace,BrkFace,None,0.0,TA,TA,CB,TA,TA,No,Rec,1018,Unf,1398,GasA,Gd,Y,SBrkr,1700,0,1700,1,1,Gd,6,TF,1,Gd,Attchd,1959.0,RFn,2,TA,TA,Y,WD,Normal,165500
34,RLD,60.0,7313,Paved,Reg,Lvl,AllPub,I,GS,NridgHt,Norm,Norm,TwnhsE,1Story,9,2005,2005,Hip,SS,MetalSd,MetalSd,BrkFace,246.0,Ex,TA,PC,Ex,TA,No,GLQ,1153,Unf,1561,GasA,Ex,Y,SBrkr,1561,0,1561,2,0,Ex,6,TF,1,Gd,Attchd,2005.0,Fin,2,TA,TA,Y,WD,Normal,277500
35,RLD,108.0,13418,Paved,Reg,Lvl,AllPub,I,GS,NridgHt,Norm,Norm,1Fam,2Story,8,2004,2005,Gable,SS,VinylSd,VinylSd,Stone,132.0,Gd,TA,PC,Ex,TA,Av,Unf,0,Unf,1117,GasA,Ex,Y,SBrkr,1132,1320,2452,3,1,Gd,9,TF,1,Gd,BuiltIn,2004.0,Fin,3,TA,TA,Y,WD,Normal,309000
36,RLD,112.0,10859,Paved,Reg,Lvl,AllPub,C,GS,CollgCr,Norm,Norm,1Fam,1Story,5,1994,1995,Gable,SS,VinylSd,VinylSd,None,0.0,TA,TA,PC,Gd,TA,No,Unf,0,Unf,1097,GasA,Ex,Y,SBrkr,1097,0,1097,1,1,TA,6,TF,0,,Attchd,1995.0,Unf,2,TA,TA,Y,WD,Normal,145000
37,RLD,74.0,8532,Paved,Reg,Lvl,AllPub,I,GS,NAmes,Norm,Norm,1Fam,1Story,5,1954,1990,Hip,SS,Wd Sdng,Wd Sdng,BrkFace,650.0,TA,TA,CB,TA,TA,No,Rec,1213,Unf,1297,GasA,Gd,Y,SBrkr,1297,0,1297,1,0,TA,5,TF,1,TA,Attchd,1954.0,Fin,2,TA,TA,Y,WD,Normal,153000
38,RLD,68.0,7922,Paved,Reg,Lvl,AllPub,I,GS,NAmes,Norm,Norm,1Fam,1Story,5,1953,2007,Gable,SS,VinylSd,VinylSd,None,0.0,TA,Gd,CB,TA,TA,No,GLQ,731,Unf,1057,GasA,TA,Y,SBrkr,1057,0,1057,1,0,Gd,5,TF,0,,Detchd,1953.0,Unf,1,TA,TA,Y,WD,Abnorml,109000
39,RLD,65.0,6040,Paved,Reg,Lvl,AllPub,I,GS,Edwards,Norm,Norm,Duplex,1Story,4,1955,1955,Gable,SS,AsbShng,Plywood,None,0.0,TA,TA,PC,,,,,0,,0,GasA,TA,N,FuseP,1152,0,1152,2,0,Fa,6,TF,0,,,,,0,,,N,WD,AdjLand,82000
40,RLD,84.0,8658,Paved,Reg,Lvl,AllPub,I,GS,NAmes,Norm,Norm,1Fam,1Story,6,1965,1965,Gable,SS,Wd Sdng,Wd Sdng,BrkFace,101.0,TA,TA,CB,TA,TA,No,Rec,643,Unf,1088,GasA,Ex,Y,SBrkr,1324,0,1324,2,0,TA,6,TF,1,TA,Attchd,1965.0,RFn,2,TA,TA,Y,WD,Abnorml,160000
41,RLD,115.0,16905,Paved,Reg,Lvl,AllPub,I,GS,Timber,Norm,Norm,1Fam,1Story,5,1959,1959,Gable,SS,VinylSd,VinylSd,None,0.0,TA,Gd,CB,TA,TA,Gd,BLQ,967,Unf,1350,GasA,Gd,Y,SBrkr,1328,0,1328,1,1,TA,5,TF,2,Gd,Attchd,1959.0,RFn,1,TA,TA,P,WD,Normal,170000
42,RLD,70.04583333333333,9180,Paved,IR1,Lvl,AllPub,CulDSac,GS,SawyerW,Norm,Norm,1Fam,SFoyer,5,1983,1983,Gable,SS,HdBoard,HdBoard,None,0.0,TA,TA,CB,Gd,TA,Av,ALQ,747,LwQ,840,GasA,Gd,Y,SBrkr,884,0,884,1,0,Gd,5,TF,0,,Attchd,1983.0,RFn,2,TA,Gd,Y,WD,Normal,144000
43,RLD,70.04583333333333,9200,Paved,IR1,Lvl,AllPub,CulDSac,GS,CollgCr,Norm,Norm,1Fam,1Story,5,1975,1980,Hip,SS,VinylSd,VinylSd,None,0.0,TA,TA,CB,Gd,TA,Av,LwQ,280,BLQ,938,GasA,TA,Y,SBrkr,938,0,938,1,0,TA,5,TF,0,,Detchd,1977.0,Unf,1,TA,TA,Y,WD,Normal,130250
44,RLD,70.0,7945,Paved,Reg,Lvl,AllPub,I,GS,NAmes,Norm,Norm,1Fam,1Story,5,1959,1959,Gable,SS,BrkFace,Wd Sdng,None,0.0,TA,TA,CB,TA,TA,No,ALQ,179,BLQ,1150,GasA,Ex,Y,FuseA,1150,0,1150,1,0,TA,6,TF,0,,Attchd,1959.0,RFn,1,TA,TA,Y,WD,Normal,141000
45,RLD,61.0,7658,Paved,Reg,Lvl,AllPub,I,GS,NridgHt,Norm,Norm,TwnhsE,1Story,9,2005,2005,Hip,SS,MetalSd,MetalSd,BrkFace,412.0,Ex,TA,PC,Ex,TA,No,GLQ,456,Unf,1752,GasA,Ex,Y,SBrkr,1752,0,1752,2,0,Ex,6,TF,1,Gd,Attchd,2005.0,RFn,2,TA,TA,Y,WD,Normal,319900
46,RLD,48.0,12822,Paved,IR1,Lvl,AllPub,CulDSac,GS,Mitchel,Norm,Norm,1Fam,1.5Fin,7,2003,2003,Gable,SS,VinylSd,VinylSd,None,0.0,Gd,TA,PC,Ex,TA,No,GLQ,1351,Unf,1434,GasA,Ex,Y,SBrkr,1518,631,2149,1,1,Gd,6,TF,1,Ex,Attchd,2003.0,RFn,2,TA,TA,Y,WD,Abnorml,239686
47,FVR,84.0,11096,Paved,Reg,Lvl,AllPub,I,GS,Somerst,Norm,Norm,1Fam,1Story,8,2006,2006,Gable,SS,VinylSd,VinylSd,None,0.0,Gd,TA,PC,Gd,TA,Av,GLQ,24,Unf,1656,GasA,Ex,Y,SBrkr,1656,0,1656,2,0,Gd,7,TF,0,,Attchd,2006.0,RFn,3,TA,TA,Y,WD,Normal,249700
48,RMD,33.0,4456,Paved,Reg,Lvl,AllPub,I,GS,OldTown,Norm,Norm,2fmCon,2Story,4,1920,2008,Gable,SS,MetalSd,MetalSd,None,0.0,TA,TA,BT,TA,TA,No,Unf,0,Unf,736,GasA,Gd,Y,SBrkr,736,716,1452,2,0,TA,8,TF,0,,,,,0,,,N,New,Partial,113000
49,RLD,66.0,7742,Paved,Reg,Lvl,AllPub,I,GS,Sawyer,Norm,Norm,1Fam,1Story,5,1966,1966,Gable,SS,HdBoard,HdBoard,None,0.0,TA,TA,CB,TA,TA,No,BLQ,763,Unf,955,GasA,Ex,Y,SBrkr,955,0,955,1,0,TA,6,TF,0,,Attchd,1966.0,Unf,1,TA,TA,Y,WD,Normal,127000
50,RLD,70.04583333333333,13869,Paved,IR2,Lvl,AllPub,C,GS,Gilbert,Norm,Norm,1Fam,2Story,6,1997,1997,Gable,SS,VinylSd,VinylSd,None,0.0,TA,TA,PC,Gd,TA,Av,GLQ,182,Unf,794,GasA,Gd,Y,SBrkr,794,676,1470,2,0,TA,6,TF,0,,Attchd,1997.0,Fin,2,TA,TA,Y,WD,Normal,177000
51,RMD,52.0,6240,Paved,Reg,Lvl,AllPub,I,GS,BrkSide,Norm,Norm,1Fam,1.5Fin,6,1934,1950,Gable,SS,Wd Sdng,Wd Sdng,None,0.0,TA,TA,PC,TA,TA,No,Unf,0,Unf,816,GasA,TA,Y,SBrkr,816,0,1176,1,0,TA,6,TF,1,Gd,Detchd,1985.0,Unf,2,TA,TA,Y,WD,Normal,114500
52,RMD,110.0,8472,Gravel,IR2,Bnk,AllPub,C,MS,IDOTRR,RRNn,Norm,Duplex,1Story,5,1963,1963,Gable,SS,Wd Sdng,Wd Sdng,None,0.0,Fa,TA,CB,Gd,TA,Gd,LwQ,104,GLQ,816,GasA,TA,N,SBrkr,816,0,816,1,0,TA,5,TF,0,,CarPort,1963.0,Unf,2,TA,TA,Y,WD,Normal,110000
53,RLD,68.0,50271,Paved,IR1,Low,AllPub,I,GS,Veenker,Norm,Norm,1Fam,1Story,9,1981,1987,Gable,WSh,WdShing,Wd Shng,None,0.0,Gd,TA,CB,Ex,TA,Gd,GLQ,1810,Unf,1842,GasA,Gd,Y,SBrkr,1842,0,1842,0,1,Gd,5,TF,1,Gd,Attchd,1981.0,Fin,3,TA,TA,Y,WD,Normal,385000
54,RLD,60.0,7134,Paved,Reg,Bnk,AllPub,I,MS,NAmes,Norm,Norm,1Fam,SLvl,5,1955,1955,Gable,SS,MetalSd,MetalSd,None,0.0,TA,TA,CB,TA,TA,No,ALQ,384,Unf,384,GasA,TA,Y,SBrkr,1360,0,1360,1,0,TA,6,MD1,1,TA,Detchd,1962.0,Unf,2,TA,TA,Y,WD,Normal,130000
55,RLD,100.0,10175,Paved,IR1,Lvl,AllPub,I,GS,NAmes,Norm,Norm,1Fam,1Story,6,1964,1964,Gable,SS,HdBoard,Plywood,BrkFace,272.0,TA,TA,CB,TA,TA,No,BLQ,490,Unf,1425,GasA,Gd,Y,SBrkr,1425,0,1425,2,0,TA,7,TF,1,Gd,Attchd,1964.0,RFn,2,TA,TA,Y,WD,Normal,180500
56,FVR,24.0,2645,Paved,Reg,Lvl,AllPub,I,GS,Somerst,Norm,Norm,Twnhs,2Story,8,1999,2000,Gable,SS,MetalSd,MetalSd,BrkFace,456.0,Gd,TA,PC,Gd,TA,No,GLQ,649,Unf,970,GasA,Ex,Y,SBrkr,983,756,1739,2,1,Gd,7,TF,0,,Attchd,1999.0,Fin,2,TA,TA,Y,WD,Abnorml,172500
57,RLD,89.0,11645,Paved,IR1,Lvl,AllPub,C,GS,CollgCr,Norm,Norm,1Fam,2Story,7,2004,2004,Gable,SS,VinylSd,VinylSd,None,0.0,Gd,TA,PC,Gd,TA,No,Unf,0,Unf,860,GasA,Ex,Y,SBrkr,860,860,1720,2,1,Gd,7,TF,0,,Attchd,2004.0,RFn,2,TA,TA,Y,WD,Normal,196500
58,RLD,66.0,13682,Paved,IR2,HLS,AllPub,CulDSac,GS,StoneBr,Norm,Norm,1Fam,2Story,10,2006,2006,Hip,SS,VinylSd,VinylSd,BrkFace,1031.0,Ex,TA,PC,Ex,TA,Gd,Unf,0,Unf,1410,GasA,Ex,Y,SBrkr,1426,1519,2945,3,1,Gd,10,TF,1,Gd,BuiltIn,2006.0,Fin,3,TA,TA,Y,New,Partial,438780
59,RLD,60.0,7200,Paved,Reg,Bnk,AllPub,I,GS,CollgCr,Norm,Norm,1Fam,1Story,5,1972,1972,Gable,SS,HdBoard,HdBoard,None,0.0,TA,TA,CB,TA,TA,Av,ALQ,632,Unf,780,GasA,Ex,Y,SBrkr,780,0,780,1,0,TA,4,TF,0,,Detchd,1973.0,Unf,1,TA,TA,Y,WD,Normal,124900
60,RLD,63.0,13072,Paved,Reg,Lvl,AllPub,I,GS,SawyerW,RRAe,Norm,1Fam,1Story,6,2004,2004,Gable,SS,VinylSd,VinylSd,None,0.0,TA,TA,PC,Gd,TA,No,ALQ,941,Unf,1158,GasA,Ex,Y,SBrkr,1158,0,1158,1,1,Gd,5,TF,0,,Detchd,2006.0,Unf,2,TA,TA,Y,New,Partial,158000
61,RMD,60.0,7200,Paved,Reg,Lvl,AllPub,I,GS,IDOTRR,Norm,Norm,1Fam,2.5Unf,5,1920,1996,Gable,SS,MetalSd,MetalSd,None,0.0,TA,TA,BT,TA,Fa,No,Unf,0,Unf,530,GasA,TA,N,SBrkr,581,530,1111,1,0,Fa,6,TF,0,,Detchd,1935.0,Unf,1,TA,TA,N,WD,Normal,101000
62,RLD,44.0,6442,Paved,IR1,Lvl,AllPub,I,GS,NridgHt,Norm,Norm,TwnhsE,1Story,8,2006,2006,Gable,SS,VinylSd,VinylSd,Stone,178.0,Gd,TA,PC,Gd,Gd,Mn,GLQ,24,Unf,1370,GasA,Ex,Y,SBrkr,1370,0,1370,2,0,Gd,6,TF,1,Gd,Attchd,2006.0,RFn,2,TA,TA,Y,WD,Normal,202500
63,RMD,50.0,10300,Paved,IR1,Bnk,AllPub,I,GS,OldTown,RRAn,Feedr,1Fam,2Story,7,1921,1950,Gable,SS,Stucco,Stucco,None,0.0,TA,TA,BT,TA,TA,No,Unf,0,Unf,576,GasA,Gd,Y,SBrkr,902,808,1710,2,0,TA,9,TF,0,,Detchd,1990.0,Unf,2,TA,TA,Y,WD,Normal,140000
